DataValue,NameEN,NamePT
EMFAF,"European Maritime, Fisheries and Aquaculture Fund (EMFAF)","Fundo Europeu dos Assuntos Marítimos, das Pescas e da Aquicultura (FEAMPA)"
EMFF_2021,European Maritime and Fisheries Fund (EMFF),Fundo Europeu dos Assuntos Marítimos e das Pescas (FEAMP)
EMFF2020,European Maritime and Fisheries Fund (EMFF),Fundo Europeu dos Assuntos Marítimos e das Pescas (FEAMP)
ENI,European Neighbourhood Instrument (ENI),Instrumento Europeu de Vizinhança (IEV)
EPF,European Peace Facility,Mecanismo Europeu de Apoio à Paz
ERASMUS_PLUS,Erasmus+,Erasmus+
ERDF,European Regional Development Fund (ERDF),Fundo Europeu de Desenvolvimento Regional (FEDER)
ERDF_2021,European Regional Development Fund (ERDF),Fundo Europeu de Desenvolvimento Regional (FEDER)
ESC,European Solidarity Corps (ESC),Corpo Europeu de Solidariedade (ESC)
ESC_2021,European Solidarity Corps (ESC),Corpo Europeu de Solidariedade (ESC)
